#	http://www.heise.de/tp/r4/artikel/32/32883/1.html	[2010-07-04]	

1	Gleich	O	O	O	O
2	darauf	O	O	O	O
3	entwirft	O	O	O	O
4	er	O	O	O	O
5	seine	O	O	O	O
6	Selbstdarstellung	O	O	O	O
7	"	O	O	O	O
8	Ecce	B-OTH	O	B-ORG	O
9	homo	I-OTH	O	I-ORG	O
10	"	O	O	O	O
11	in	O	O	O	O
12	enger	O	O	O	O
13	Auseinandersetzung	O	O	O	O
14	mit	O	O	O	O
15	diesem	O	O	O	O
16	Bild	O	O	B-ORG	O
17	Jesu	B-PER	O	I-ORG	O
18	.	O	O	O	O

#	http://de.wikipedia.org/wiki/Toyota_Crown	[2009-08-13]	

1	1980	O	O	O	O
2	kam	O	O	O	O
3	der	O	O	O	O
4	Crown	B-OTH	O	B-LOC	O
5	als	O	O	O	O
6	Versuch	O	O	O	O
7	von	O	O	O	O
8	Toyota	B-ORG	O	B-ORG	O
9	,	O	O	O	O
10	sich	O	O	O	O
11	in	O	O	O	O
12	der	O	O	O	O
13	Oberen	O	O	O	O
14	Mittelklasse	O	O	B-LOC	O
15	zu	O	O	O	O
16	etablieren	O	O	O	O
17	,	O	O	O	O
18	auch	O	O	O	O
19	nach	O	O	O	O
20	Deutschland	B-LOC	O	B-LOC	O
21	.	O	O	O	O

#	http://de.wikipedia.org/wiki/Return_to_Forever_(Album)	[2009-03-29]	

1	–	O	O	O	O
2	4:26	O	O	O	O
3	#	O	O	O	O
4	Sometime	B-OTH	O	B-LOC	O
5	Ago/La	I-OTH	O	I-LOC	O
6	Fiesta	I-OTH	O	B-ORG	O
7	–	O	O	O	O
8	23:18	O	O	O	O
9	Alle	O	O	O	O
10	Stücke	O	O	O	O
11	wurden	O	O	O	O
12	von	O	O	O	O
13	Corea	B-PER	O	B-LOCderiv	O
14	komponiert	O	O	O	O
15	mit	O	O	O	O
16	Ausnahme	O	O	O	O
17	der	O	O	O	O
18	einleitenden	O	O	O	O
